method,split,regime,task,seed,episodes,success_rate,contact_precision,budget_violation_rate,fall_rate,balance_margin,recovery_success,energy_contact_cost,calibration_error
no_budget_planner,clean_deployment,slippery_foot_contact,box_lift_rebalance,6,84,0.428571,0.288388,0.312030,0.178416,0.353265,0.290106,0.127904,0.115684
no_budget_planner,clean_deployment,slippery_foot_contact,fallen_object_pickup,0,84,0.464286,0.294028,0.316260,0.180654,0.352017,0.286568,0.130809,0.119444
no_budget_planner,clean_deployment,slippery_foot_contact,fallen_object_pickup,1,84,0.404762,0.294868,0.316890,0.182544,0.352787,0.287317,0.131241,0.119878
no_budget_planner,clean_deployment,slippery_foot_contact,fallen_object_pickup,2,84,0.500000,0.295708,0.317520,0.180719,0.353742,0.288308,0.131674,0.120312
no_budget_planner,clean_deployment,slippery_foot_contact,fallen_object_pickup,3,84,0.416667,0.296548,0.318150,0.183180,0.354483,0.289020,0.132107,0.120746
no_budget_planner,clean_deployment,slippery_foot_contact,fallen_object_pickup,4,84,0.333333,0.297389,0.318780,0.185641,0.355224,0.289732,0.132539,0.121180
no_budget_planner,clean_deployment,slippery_foot_contact,fallen_object_pickup,5,84,0.440476,0.298229,0.319410,0.183530,0.356193,0.290741,0.132972,0.121614
no_budget_planner,clean_deployment,slippery_foot_contact,fallen_object_pickup,6,84,0.392857,0.299068,0.308034,0.184354,0.357016,0.291560,0.125160,0.113852
no_budget_planner,clean_deployment,slippery_foot_contact,push_cart_with_footstep,0,84,0.392857,0.293876,0.316146,0.182285,0.319088,0.282718,0.130731,0.120918
no_budget_planner,clean_deployment,slippery_foot_contact,push_cart_with_footstep,1,84,0.476190,0.294740,0.316794,0.180759,0.320052,0.283713,0.131175,0.121365
no_budget_planner,clean_deployment,slippery_foot_contact,push_cart_with_footstep,2,84,0.476190,0.295604,0.317442,0.181233,0.320916,0.284578,0.131620,0.121811
no_budget_planner,clean_deployment,slippery_foot_contact,push_cart_with_footstep,3,84,0.511905,0.296468,0.318090,0.180850,0.321823,0.285499,0.132065,0.114253
no_budget_planner,clean_deployment,slippery_foot_contact,push_cart_with_footstep,4,84,0.392857,0.297332,0.318738,0.184181,0.322545,0.286179,0.132510,0.114700
no_budget_planner,clean_deployment,slippery_foot_contact,push_cart_with_footstep,5,84,0.523810,0.298196,0.319386,0.181513,0.323566,0.287248,0.132955,0.115146
no_budget_planner,clean_deployment,slippery_foot_contact,push_cart_with_footstep,6,84,0.452381,0.299061,0.308028,0.182921,0.324384,0.288053,0.125156,0.115400
no_budget_planner,clean_deployment,one_hand_occupied,bimanual_shelf_reach,0,84,0.416667,0.290147,0.319620,0.183275,0.341248,0.282748,0.131119,0.117707
no_budget_planner,clean_deployment,one_hand_occupied,bimanual_shelf_reach,1,84,0.511905,0.290955,0.320226,0.181433,0.342172,0.283707,0.131535,0.118125
no_budget_planner,clean_deployment,one_hand_occupied,bimanual_shelf_reach,2,84,0.369048,0.291763,0.320832,0.185305,0.342811,0.284296,0.131951,0.118543
no_budget_planner,clean_deployment,one_hand_occupied,bimanual_shelf_reach,3,84,0.464286,0.292571,0.321438,0.183463,0.343735,0.285255,0.132367,0.118960
no_budget_planner,clean_deployment,one_hand_occupied,bimanual_shelf_reach,4,84,0.500000,0.293379,0.322044,0.183049,0.344588,0.286122,0.132783,0.119378
no_budget_planner,clean_deployment,one_hand_occupied,bimanual_shelf_reach,5,84,0.428571,0.294187,0.322650,0.185207,0.345312,0.286822,0.133199,0.119796
no_budget_planner,clean_deployment,one_hand_occupied,bimanual_shelf_reach,6,84,0.404762,0.294995,0.323256,0.186221,0.346093,0.287596,0.133616,0.120213
no_budget_planner,clean_deployment,one_hand_occupied,door_open_step_through,0,84,0.500000,0.295979,0.323994,0.184476,0.331020,0.281837,0.134122,0.121861
no_budget_planner,clean_deployment,one_hand_occupied,door_open_step_through,1,84,0.416667,0.296803,0.312606,0.186147,0.331785,0.282585,0.126303,0.122095
no_budget_planner,clean_deployment,one_hand_occupied,door_open_step_through,2,84,0.297619,0.297627,0.313224,0.189457,0.332467,0.283226,0.126727,0.122521
no_budget_planner,clean_deployment,one_hand_occupied,door_open_step_through,3,84,0.333333,0.298451,0.313842,0.189052,0.333335,0.284108,0.127151,0.114943
no_budget_planner,clean_deployment,one_hand_occupied,door_open_step_through,4,84,0.416667,0.283267,0.314460,0.187504,0.334261,0.285065,0.127576,0.115369
no_budget_planner,clean_deployment,one_hand_occupied,door_open_step_through,5,84,0.333333,0.284091,0.315078,0.181952,0.335386,0.286282,0.128000,0.115794
no_budget_planner,clean_deployment,one_hand_occupied,door_open_step_through,6,84,0.416667,0.284915,0.315696,0.180404,0.336312,0.287238,0.128424,0.116220
no_budget_planner,clean_deployment,one_hand_occupied,box_lift_rebalance,0,84,0.369048,0.289851,0.319398,0.184256,0.343079,0.275956,0.130966,0.116752
no_budget_planner,clean_deployment,one_hand_occupied,box_lift_rebalance,1,84,0.392857,0.290643,0.319992,0.184119,0.343902,0.276789,0.131374,0.117161
no_budget_planner,clean_deployment,one_hand_occupied,box_lift_rebalance,2,84,0.440476,0.291435,0.320586,0.183411,0.344753,0.277659,0.131782,0.117571
no_budget_planner,clean_deployment,one_hand_occupied,box_lift_rebalance,3,84,0.404762,0.292227,0.321180,0.184702,0.345505,0.278399,0.132190,0.117980
no_budget_planner,clean_deployment,one_hand_occupied,box_lift_rebalance,4,84,0.369048,0.293019,0.321774,0.185994,0.346256,0.279139,0.132598,0.118390
no_budget_planner,clean_deployment,one_hand_occupied,box_lift_rebalance,5,84,0.428571,0.293811,0.322368,0.185000,0.347122,0.280027,0.133006,0.118799
no_budget_planner,clean_deployment,one_hand_occupied,box_lift_rebalance,6,84,0.452381,0.294603,0.322962,0.184863,0.347945,0.280860,0.133414,0.119209
no_budget_planner,clean_deployment,one_hand_occupied,fallen_object_pickup,0,84,0.416667,0.293267,0.321960,0.184987,0.355835,0.286492,0.132726,0.119397
no_budget_planner,clean_deployment,one_hand_occupied,fallen_object_pickup,1,84,0.428571,0.294075,0.322566,0.185145,0.356659,0.287322,0.133142,0.119814
no_budget_planner,clean_deployment,one_hand_occupied,fallen_object_pickup,2,84,0.309524,0.294883,0.323172,0.188446,0.357326,0.287947,0.133558,0.120232
no_budget_planner,clean_deployment,one_hand_occupied,fallen_object_pickup,3,84,0.369048,0.295691,0.323778,0.187460,0.358207,0.288851,0.133974,0.120650
no_budget_planner,clean_deployment,one_hand_occupied,fallen_object_pickup,4,84,0.380952,0.296499,0.312378,0.186838,0.343062,0.289732,0.126146,0.120875
no_budget_planner,clean_deployment,one_hand_occupied,fallen_object_pickup,5,84,0.380952,0.297307,0.312984,0.187281,0.343872,0.274535,0.126562,0.121293
no_budget_planner,clean_deployment,one_hand_occupied,fallen_object_pickup,6,84,0.380952,0.298115,0.313590,0.187725,0.344682,0.275346,0.126978,0.121711
no_budget_planner,clean_deployment,one_hand_occupied,push_cart_with_footstep,0,84,0.476190,0.296707,0.312534,0.184666,0.326595,0.286361,0.126253,0.122518
no_budget_planner,clean_deployment,one_hand_occupied,push_cart_with_footstep,1,84,0.380952,0.297539,0.313158,0.187408,0.327314,0.287047,0.126682,0.114944
no_budget_planner,clean_deployment,one_hand_occupied,push_cart_with_footstep,2,84,0.488095,0.298371,0.313782,0.185294,0.328275,0.288048,0.127110,0.115374
no_budget_planner,clean_deployment,one_hand_occupied,push_cart_with_footstep,3,84,0.440476,0.283195,0.314406,0.186893,0.329051,0.288808,0.127539,0.115804
no_budget_planner,clean_deployment,one_hand_occupied,push_cart_with_footstep,4,84,0.523810,0.284027,0.315030,0.177346,0.330385,0.290293,0.127967,0.116234
no_budget_planner,clean_deployment,one_hand_occupied,push_cart_with_footstep,5,84,0.476190,0.284859,0.315654,0.178945,0.331161,0.275045,0.128395,0.116664
no_budget_planner,clean_deployment,one_hand_occupied,push_cart_with_footstep,6,84,0.476190,0.285691,0.316278,0.179402,0.331994,0.275879,0.128824,0.117094
no_budget_planner,clean_deployment,narrow_support_polygon,bimanual_shelf_reach,0,84,0.500000,0.294156,0.316742,0.186676,0.345906,0.276775,0.127088,0.116378
no_budget_planner,clean_deployment,narrow_support_polygon,bimanual_shelf_reach,1,84,0.452381,0.295004,0.317378,0.188284,0.330690,0.277550,0.127524,0.116816
no_budget_planner,clean_deployment,narrow_support_polygon,bimanual_shelf_reach,2,84,0.440476,0.295852,0.318014,0.189035,0.331524,0.278381,0.127961,0.117255
no_budget_planner,clean_deployment,narrow_support_polygon,bimanual_shelf_reach,3,84,0.404762,0.280692,0.318650,0.190358,0.332330,0.279176,0.128398,0.117693
no_budget_planner,clean_deployment,narrow_support_polygon,bimanual_shelf_reach,4,84,0.428571,0.281540,0.319286,0.190252,0.333207,0.280062,0.128835,0.118131
no_budget_planner,clean_deployment,narrow_support_polygon,bimanual_shelf_reach,5,84,0.416667,0.282388,0.319922,0.182999,0.334442,0.281414,0.129271,0.118569
no_budget_planner,clean_deployment,narrow_support_polygon,bimanual_shelf_reach,6,84,0.428571,0.283236,0.320558,0.183179,0.335305,0.282282,0.129708,0.119007
no_budget_planner,clean_deployment,narrow_support_polygon,door_open_step_through,0,84,0.392857,0.295660,0.317870,0.190073,0.331240,0.287402,0.127862,0.118316
no_budget_planner,clean_deployment,narrow_support_polygon,door_open_step_through,1,84,0.285714,0.280516,0.318518,0.193119,0.331976,0.288100,0.128307,0.118763
no_budget_planner,clean_deployment,narrow_support_polygon,door_open_step_through,2,84,0.511905,0.281380,0.319166,0.188164,0.333112,0.273310,0.128752,0.119209
no_budget_planner,clean_deployment,narrow_support_polygon,door_open_step_through,3,84,0.369048,0.282244,0.319814,0.184063,0.334205,0.274473,0.129197,0.119655
no_budget_planner,clean_deployment,narrow_support_polygon,door_open_step_through,4,84,0.416667,0.283108,0.320462,0.183394,0.335126,0.275412,0.129642,0.120102
no_budget_planner,clean_deployment,narrow_support_polygon,door_open_step_through,5,84,0.333333,0.283972,0.321110,0.185868,0.335891,0.276147,0.130087,0.120548
no_budget_planner,clean_deployment,narrow_support_polygon,door_open_step_through,6,84,0.476190,0.284836,0.321758,0.182914,0.336926,0.277235,0.130532,0.120995
no_budget_planner,clean_deployment,narrow_support_polygon,box_lift_rebalance,0,84,0.357143,0.285820,0.322496,0.186311,0.339764,0.278039,0.131039,0.119502
no_budget_planner,clean_deployment,narrow_support_polygon,box_lift_rebalance,1,84,0.440476,0.286652,0.323120,0.184767,0.340698,0.279003,0.131467,0.119932
no_budget_planner,clean_deployment,narrow_support_polygon,box_lift_rebalance,2,84,0.309524,0.287484,0.323744,0.188367,0.341374,0.279633,0.131896,0.120362
no_budget_planner,clean_deployment,narrow_support_polygon,box_lift_rebalance,3,84,0.488095,0.288316,0.324368,0.184538,0.342421,0.280746,0.132324,0.120792
no_budget_planner,clean_deployment,narrow_support_polygon,box_lift_rebalance,4,84,0.464286,0.289148,0.324992,0.185566,0.343226,0.281543,0.132753,0.121222
no_budget_planner,clean_deployment,narrow_support_polygon,box_lift_rebalance,5,84,0.333333,0.289980,0.325616,0.189165,0.343902,0.282173,0.133181,0.121652
no_budget_planner,clean_deployment,narrow_support_polygon,box_lift_rebalance,6,84,0.380952,0.290812,0.326240,0.188479,0.344792,0.283082,0.133610,0.122082
no_budget_planner,clean_deployment,narrow_support_polygon,fallen_object_pickup,0,84,0.488095,0.282188,0.319772,0.181175,0.345765,0.281908,0.129168,0.118539
no_budget_planner,clean_deployment,narrow_support_polygon,fallen_object_pickup,1,84,0.488095,0.283036,0.320408,0.181640,0.346614,0.282758,0.129605,0.118977
no_budget_planner,clean_deployment,narrow_support_polygon,fallen_object_pickup,2,84,0.369048,0.283884,0.321044,0.184963,0.347320,0.283422,0.130042,0.119415
no_budget_planner,clean_deployment,narrow_support_polygon,fallen_object_pickup,3,84,0.404762,0.284732,0.321680,0.184571,0.348211,0.284328,0.130478,0.119853
no_budget_planner,clean_deployment,narrow_support_polygon,fallen_object_pickup,4,84,0.511905,0.285580,0.322316,0.182465,0.349189,0.285345,0.130915,0.120291
no_budget_planner,clean_deployment,narrow_support_polygon,fallen_object_pickup,5,84,0.369048,0.286428,0.322952,0.186359,0.349866,0.285971,0.131352,0.120730
no_budget_planner,clean_deployment,narrow_support_polygon,fallen_object_pickup,6,84,0.380952,0.287276,0.323588,0.186538,0.350729,0.286840,0.131789,0.121168
no_budget_planner,clean_deployment,narrow_support_polygon,push_cart_with_footstep,0,84,0.464286,0.285140,0.321986,0.183366,0.315912,0.281126,0.130689,0.121602
no_budget_planner,clean_deployment,narrow_support_polygon,push_cart_with_footstep,1,84,0.321429,0.286012,0.322640,0.187273,0.316612,0.281776,0.131138,0.122053
no_budget_planner,clean_deployment,narrow_support_polygon,push_cart_with_footstep,2,84,0.535714,0.286884,0.323294,0.182609,0.317742,0.282983,0.131587,0.122503
no_budget_planner,clean_deployment,narrow_support_polygon,push_cart_with_footstep,3,84,0.369048,0.287756,0.323948,0.187087,0.318414,0.283596,0.132036,0.122954
no_budget_planner,clean_deployment,narrow_support_polygon,push_cart_with_footstep,4,84,0.440476,0.288628,0.324602,0.185852,0.319371,0.284580,0.132485,0.123404
no_budget_planner,clean_deployment,narrow_support_polygon,push_cart_with_footstep,5,84,0.476190,0.289500,0.325256,0.185473,0.320286,0.285509,0.132934,0.123854
no_budget_planner,clean_deployment,narrow_support_polygon,push_cart_with_footstep,6,84,0.416667,0.290372,0.325910,0.187380,0.321087,0.286289,0.133383,0.116301
no_budget_planner,clean_deployment,unexpected_push,bimanual_shelf_reach,0,84,0.500000,0.282086,0.326402,0.184960,0.331482,0.272084,0.131524,0.117598
no_budget_planner,clean_deployment,unexpected_push,bimanual_shelf_reach,1,84,0.440476,0.282878,0.326996,0.186823,0.332205,0.272787,0.131932,0.118008
no_budget_planner,clean_deployment,unexpected_push,bimanual_shelf_reach,2,84,0.404762,0.283670,0.327590,0.188115,0.332956,0.273527,0.132339,0.118417
no_budget_planner,clean_deployment,unexpected_push,bimanual_shelf_reach,3,84,0.380952,0.284462,0.328184,0.189121,0.333722,0.274286,0.132747,0.118827
no_budget_planner,clean_deployment,unexpected_push,bimanual_shelf_reach,4,84,0.428571,0.285254,0.328778,0.188413,0.334573,0.275156,0.133155,0.119236
no_budget_planner,clean_deployment,unexpected_push,bimanual_shelf_reach,5,84,0.297619,0.286046,0.329372,0.191990,0.335210,0.275747,0.133563,0.119646
no_budget_planner,clean_deployment,unexpected_push,bimanual_shelf_reach,6,84,0.464286,0.286838,0.329966,0.188425,0.336205,0.276803,0.133971,0.120055
no_budget_planner,clean_deployment,unexpected_push,door_open_step_through,0,84,0.452381,0.283246,0.327272,0.186740,0.332561,0.282473,0.132121,0.119360
no_budget_planner,clean_deployment,unexpected_push,door_open_step_through,1,84,0.357143,0.284054,0.327878,0.189469,0.333257,0.283135,0.132537,0.119778
no_budget_planner,clean_deployment,unexpected_push,door_open_step_through,2,84,0.464286,0.284862,0.328484,0.187341,0.334195,0.284113,0.132953,0.120196
no_budget_planner,clean_deployment,unexpected_push,door_open_step_through,3,84,0.357143,0.285670,0.329090,0.190355,0.334876,0.284757,0.133369,0.120613
no_budget_planner,clean_deployment,unexpected_push,door_open_step_through,4,84,0.369048,0.286478,0.329696,0.190513,0.335700,0.285587,0.133786,0.121031
no_budget_planner,clean_deployment,unexpected_push,door_open_step_through,5,84,0.428571,0.287286,0.330302,0.189528,0.336582,0.286491,0.134202,0.121449
no_budget_planner,clean_deployment,unexpected_push,door_open_step_through,6,84,0.452381,0.288094,0.330908,0.189400,0.321412,0.287340,0.134618,0.121866
no_budget_planner,clean_deployment,unexpected_push,box_lift_rebalance,0,84,0.416667,0.285006,0.328592,0.188563,0.336398,0.284346,0.133027,0.118289
no_budget_planner,clean_deployment,unexpected_push,box_lift_rebalance,1,84,0.416667,0.285782,0.329174,0.188988,0.337177,0.285126,0.133427,0.118691
no_budget_planner,clean_deployment,unexpected_push,box_lift_rebalance,2,84,0.380952,0.286558,0.329756,0.190271,0.337912,0.285851,0.133827,0.119092
no_budget_planner,clean_deployment,unexpected_push,box_lift_rebalance,3,84,0.369048,0.287334,0.330338,0.190983,0.338677,0.286613,0.134226,0.119493
no_budget_planner,clean_deployment,unexpected_push,box_lift_rebalance,4,84,0.416667,0.288110,0.330920,0.190266,0.339513,0.271459,0.134626,0.119895
no_budget_planner,clean_deployment,unexpected_push,box_lift_rebalance,5,84,0.369048,0.288886,0.331502,0.191835,0.340234,0.272165,0.135026,0.120296
no_budget_planner,clean_deployment,unexpected_push,box_lift_rebalance,6,84,0.369048,0.289662,0.332084,0.192260,0.341013,0.272946,0.135425,0.120697
no_budget_planner,clean_deployment,unexpected_push,fallen_object_pickup,0,84,0.273810,0.284838,0.328466,0.191899,0.345439,0.275121,0.132941,0.119099
no_budget_planner,clean_deployment,unexpected_push,fallen_object_pickup,1,84,0.440476,0.285630,0.329060,0.188334,0.346433,0.276177,0.133349,0.119509
no_budget_planner,clean_deployment,unexpected_push,fallen_object_pickup,2,84,0.357143,0.286422,0.329654,0.190768,0.347128,0.276843,0.133757,0.119918
no_budget_planner,clean_deployment,unexpected_push,fallen_object_pickup,3,84,0.369048,0.287214,0.330248,0.190917,0.347936,0.277657,0.134165,0.120328
no_budget_planner,clean_deployment,unexpected_push,fallen_object_pickup,4,84,0.345238,0.288006,0.330842,0.191923,0.348702,0.278416,0.134572,0.120737
no_budget_planner,clean_deployment,unexpected_push,fallen_object_pickup,5,84,0.345238,0.288798,0.331436,0.192358,0.349496,0.279211,0.134980,0.121147
no_budget_planner,clean_deployment,unexpected_push,fallen_object_pickup,6,84,0.297619,0.289590,0.332030,0.193935,0.350233,0.279933,0.135388,0.121556
no_budget_planner,clean_deployment,unexpected_push,push_cart_with_footstep,0,84,0.440476,0.282070,0.326390,0.186380,0.326259,0.285128,0.131515,0.119234
no_budget_planner,clean_deployment,unexpected_push,push_cart_with_footstep,1,84,0.416667,0.282886,0.327002,0.187399,0.327048,0.285910,0.131936,0.119656
no_budget_planner,clean_deployment,unexpected_push,push_cart_with_footstep,2,84,0.357143,0.283702,0.327614,0.189276,0.327794,0.286636,0.132356,0.120078
no_budget_planner,clean_deployment,unexpected_push,push_cart_with_footstep,3,84,0.392857,0.284518,0.328226,0.188866,0.328655,0.287510,0.132776,0.120499
no_budget_planner,clean_deployment,unexpected_push,push_cart_with_footstep,4,84,0.404762,0.285334,0.328838,0.189028,0.313479,0.272340,0.133196,0.120921
no_budget_planner,clean_deployment,unexpected_push,push_cart_with_footstep,5,84,0.440476,0.286150,0.329450,0.188619,0.314339,0.273214,0.133617,0.121343
no_budget_planner,clean_deployment,unexpected_push,push_cart_with_footstep,6,84,0.428571,0.286966,0.330062,0.189352,0.315142,0.274015,0.134037,0.121765
no_budget_planner,clean_deployment,contact_dropout,bimanual_shelf_reach,0,84,0.345238,0.283941,0.334065,0.193300,0.333779,0.274452,0.134788,0.120902
no_budget_planner,clean_deployment,contact_dropout,bimanual_shelf_reach,1,84,0.404762,0.284733,0.334659,0.192307,0.334645,0.275340,0.135196,0.121312
