method,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
dual_price_contact_budget_controller_v5,clean_deployment,0.819633,0.000791,1.052999,0.001575,0.026288,0.000310,0.023259,0.000398,0.729703,0.000338,0.717036,0.000366,0.175085,0.000153,0.013467,0.000556,0.008993,0.000298,0.019557,0.000161,0.069573,0.000164,0.052160,0.000467,0.025486,0.000416,3840
dual_price_contact_budget_controller_v5,combined_stress,0.795019,0.000845,0.984148,0.001739,0.042779,0.000310,0.042289,0.000409,0.713558,0.000332,0.700994,0.000380,0.182092,0.000153,0.023321,0.000719,0.018890,0.000358,0.027251,0.000163,0.077613,0.000166,0.072940,0.000518,0.043519,0.000466,3840
dual_price_contact_budget_controller_v5,heldout_layout,0.808119,0.000816,1.026177,0.001648,0.031329,0.000312,0.029374,0.000402,0.723280,0.000335,0.710580,0.000370,0.177999,0.000154,0.017092,0.000628,0.012860,0.000328,0.022708,0.000163,0.072994,0.000165,0.059253,0.000491,0.031471,0.000439,3840
dual_price_contact_budget_controller_v5,heldout_object,0.813622,0.000801,1.038817,0.001609,0.028808,0.000306,0.026430,0.000401,0.726106,0.000333,0.713348,0.000365,0.176751,0.000152,0.015478,0.000596,0.011120,0.000316,0.021333,0.000162,0.071548,0.000165,0.055889,0.000480,0.028622,0.000428,3840
dual_price_contact_budget_controller_v5,heldout_payload,0.804363,0.000827,1.004461,0.001689,0.039723,0.000309,0.038250,0.000406,0.718546,0.000333,0.706031,0.000375,0.179879,0.000155,0.019864,0.000674,0.015576,0.000347,0.024860,0.000164,0.075057,0.000166,0.067808,0.000506,0.039290,0.000453,3840
fixed_contact_quota,clean_deployment,0.577447,0.001321,0.262153,0.002943,0.236156,0.000560,0.202375,0.000884,0.457194,0.000379,0.394830,0.000422,0.185965,0.000155,0.194453,0.000812,0.167504,0.000370,0.106659,0.000168,0.066333,0.000181,0.221901,0.000762,0.243103,0.000784,3840
fixed_contact_quota,combined_stress,0.512083,0.001666,0.117133,0.003305,0.267025,0.000559,0.247706,0.000890,0.438196,0.000381,0.376633,0.000417,0.192978,0.000155,0.210213,0.000815,0.179217,0.000368,0.114632,0.000168,0.075337,0.000190,0.256187,0.000764,0.278626,0.000787,3840
fixed_contact_quota,heldout_layout,0.548914,0.001465,0.203427,0.003098,0.247048,0.000558,0.219510,0.000886,0.449646,0.000382,0.387391,0.000424,0.188840,0.000156,0.200903,0.000813,0.172347,0.000368,0.109979,0.000169,0.070096,0.000185,0.234778,0.000762,0.256468,0.000785,3840
fixed_contact_quota,heldout_object,0.562220,0.001405,0.230173,0.003033,0.242148,0.000559,0.211838,0.000884,0.452853,0.000383,0.390700,0.000422,0.187538,0.000154,0.198081,0.000812,0.170308,0.000371,0.108499,0.000169,0.068428,0.000182,0.229036,0.000761,0.250507,0.000784,3840
fixed_contact_quota,heldout_payload,0.534787,0.001548,0.161697,0.003186,0.259571,0.000561,0.235357,0.000889,0.444021,0.000380,0.382139,0.000422,0.190714,0.000152,0.205157,0.000815,0.175565,0.000368,0.112183,0.000170,0.072462,0.000186,0.246981,0.000765,0.269012,0.000787,3840
greedy_contact_planner,clean_deployment,0.520492,0.001516,0.004413,0.003385,0.344490,0.000701,0.265063,0.001035,0.390515,0.000398,0.328632,0.000432,0.175379,0.000154,0.253126,0.000814,0.274771,0.000370,0.139533,0.000172,0.015384,0.000186,0.300659,0.000859,0.336648,0.000898,3840
greedy_contact_planner,combined_stress,0.442219,0.001953,-0.166081,0.003834,0.383188,0.000703,0.318556,0.001044,0.370718,0.000398,0.309800,0.000426,0.182513,0.000155,0.268870,0.000814,0.286368,0.000366,0.147621,0.000171,0.024798,0.000197,0.340209,0.000863,0.378260,0.000902,3840
greedy_contact_planner,heldout_layout,0.486377,0.001709,-0.065212,0.003590,0.358613,0.000705,0.285659,0.001040,0.382415,0.000398,0.320969,0.000432,0.178373,0.000154,0.259597,0.000814,0.279524,0.000369,0.142852,0.000171,0.019361,0.000189,0.315718,0.000863,0.352558,0.000902,3840
greedy_contact_planner,heldout_object,0.501574,0.001617,-0.034135,0.003490,0.352265,0.000702,0.276467,0.001037,0.385992,0.000396,0.324327,0.000428,0.176983,0.000155,0.256714,0.000815,0.277399,0.000370,0.141342,0.000171,0.017533,0.000189,0.309044,0.000860,0.345439,0.000899,3840
greedy_contact_planner,heldout_payload,0.468968,0.001808,-0.113593,0.003689,0.373205,0.000705,0.303726,0.001042,0.376712,0.000393,0.315527,0.000428,0.180215,0.000154,0.263945,0.000815,0.282715,0.000370,0.145125,0.000171,0.021784,0.000194,0.329348,0.000865,0.366766,0.000903,3840
learned_residual_contact_policy,clean_deployment,0.665173,0.001152,0.471946,0.002667,0.193618,0.000551,0.165042,0.000792,0.514774,0.000377,0.505649,0.000414,0.213136,0.000154,0.136070,0.000812,0.141784,0.000366,0.098049,0.000168,0.035257,0.000176,0.177691,0.000740,0.195824,0.000742,3840
learned_residual_contact_policy,combined_stress,0.611060,0.001436,0.342742,0.002979,0.224068,0.000556,0.205447,0.000797,0.496488,0.000373,0.487495,0.000411,0.220125,0.000154,0.151846,0.000814,0.153276,0.000369,0.106101,0.000168,0.043939,0.000182,0.210849,0.000745,0.229124,0.000746,3840
learned_residual_contact_policy,heldout_layout,0.641465,0.001267,0.419792,0.002796,0.204396,0.000553,0.180117,0.000793,0.507256,0.000375,0.498144,0.000415,0.215985,0.000156,0.142653,0.000814,0.146581,0.000370,0.101359,0.000170,0.038837,0.000178,0.190101,0.000743,0.208307,0.000744,3840
learned_residual_contact_policy,heldout_object,0.652174,0.001230,0.443274,0.002754,0.199405,0.000554,0.173396,0.000792,0.510627,0.000372,0.501408,0.000416,0.214748,0.000154,0.139729,0.000814,0.144430,0.000370,0.099922,0.000169,0.037320,0.000178,0.184492,0.000743,0.202685,0.000743,3840
learned_residual_contact_policy,heldout_payload,0.629936,0.001338,0.381986,0.002877,0.216662,0.000556,0.194665,0.000796,0.501916,0.000374,0.493015,0.000414,0.217932,0.000154,0.146897,0.000814,0.149741,0.000370,0.103616,0.000168,0.041191,0.000179,0.201987,0.000745,0.220217,0.000746,3840
no_budget_planner,clean_deployment,0.410672,0.001272,-0.086310,0.002894,0.317064,0.000637,0.233465,0.000807,0.332989,0.000376,0.266390,0.000417,0.142761,0.000152,0.288613,0.000816,0.251380,0.000371,0.133472,0.000169,0.018262,0.000180,0.275553,0.000728,0.318203,0.000780,3840
no_budget_planner,combined_stress,0.345464,0.001574,-0.230605,0.003215,0.352143,0.000639,0.274671,0.000815,0.314355,0.000376,0.248338,0.000416,0.149745,0.000155,0.304388,0.000816,0.262978,0.000369,0.141499,0.000171,0.027245,0.000189,0.308006,0.000734,0.353423,0.000784,3840
no_budget_planner,heldout_layout,0.382421,0.001400,-0.144677,0.003030,0.329748,0.000637,0.248924,0.000809,0.325392,0.000374,0.258898,0.000416,0.145567,0.000155,0.295147,0.000817,0.256255,0.000371,0.136807,0.000169,0.021992,0.000185,0.287724,0.000729,0.331498,0.000780,3840
no_budget_planner,heldout_object,0.395215,0.001341,-0.118498,0.002967,0.324040,0.000638,0.241983,0.000809,0.328650,0.000378,0.262144,0.000414,0.144363,0.000152,0.292323,0.000812,0.254114,0.000371,0.135363,0.000170,0.020411,0.000180,0.282244,0.000729,0.325562,0.000780,3840
no_budget_planner,heldout_payload,0.367950,0.001468,-0.186508,0.003102,0.343264,0.000638,0.263684,0.000810,0.320003,0.000377,0.253723,0.000416,0.147594,0.000154,0.299469,0.000816,0.259223,0.000368,0.139035,0.000171,0.024464,0.000185,0.299369,0.000730,0.343912,0.000781,3840
oracle_contact_scheduler,clean_deployment,0.906580,0.000723,1.226817,0.000926,0.000549,0.000054,0.001274,0.000093,0.800955,0.000304,0.789184,0.000317,0.143485,0.000143,0.003796,0.000255,0.000182,0.000029,0.005630,0.000140,0.052962,0.000160,0.035545,0.000174,0.002367,0.000117,3840
oracle_contact_scheduler,combined_stress,0.890642,0.000740,1.190772,0.001226,0.004697,0.000205,0.006805,0.000263,0.786460,0.000316,0.774804,0.000345,0.150078,0.000147,0.008976,0.000441,0.001399,0.000124,0.012817,0.000159,0.060722,0.000162,0.044874,0.000338,0.008392,0.000278,3840
oracle_contact_scheduler,heldout_layout,0.898929,0.000728,1.212650,0.001009,0.001249,0.000091,0.002464,0.000141,0.795077,0.000306,0.783325,0.000328,0.146188,0.000144,0.005665,0.000329,0.000551,0.000061,0.008561,0.000154,0.056164,0.000160,0.038517,0.000222,0.003970,0.000166,3840
oracle_contact_scheduler,heldout_object,0.902960,0.000736,1.219724,0.000975,0.000863,0.000071,0.001832,0.000117,0.797754,0.000304,0.785786,0.000318,0.144979,0.000144,0.004812,0.000296,0.000349,0.000044,0.007202,0.000149,0.054786,0.000160,0.037087,0.000200,0.003171,0.000142,3840
oracle_contact_scheduler,heldout_payload,0.897290,0.000741,1.203367,0.001153,0.003627,0.000182,0.005447,0.000233,0.790948,0.000315,0.779265,0.000334,0.148021,0.000145,0.007090,0.000379,0.000888,0.000088,0.010509,0.000157,0.058194,0.000161,0.042089,0.000300,0.006659,0.000241,3840
proposed_contact_budget_controller_v4_1,clean_deployment,0.767732,0.000864,0.889598,0.001906,0.066298,0.000360,0.053940,0.000477,0.668046,0.000341,0.654472,0.000396,0.205390,0.000155,0.044667,0.000813,0.038089,0.000373,0.039007,0.000165,0.076614,0.000168,0.078912,0.000575,0.065055,0.000538,3840
proposed_contact_budget_controller_v4_1,combined_stress,0.735986,0.000954,0.805426,0.002026,0.085867,0.000359,0.077028,0.000481,0.651492,0.000338,0.637713,0.000393,0.212388,0.000153,0.060430,0.000815,0.049530,0.000368,0.046754,0.000168,0.084733,0.000171,0.103103,0.000577,0.087330,0.000540,3840
proposed_contact_budget_controller_v4_1,heldout_layout,0.753551,0.000902,0.856454,0.001959,0.072551,0.000361,0.061905,0.000479,0.661431,0.000343,0.647542,0.000395,0.208164,0.000154,0.051164,0.000814,0.042737,0.000369,0.042122,0.000166,0.079946,0.000168,0.087619,0.000575,0.072949,0.000539,3840
proposed_contact_budget_controller_v4_1,heldout_object,0.760295,0.000885,0.871715,0.001939,0.069696,0.000360,0.058239,0.000479,0.664255,0.000344,0.650532,0.000395,0.206954,0.000156,0.048310,0.000812,0.040650,0.000368,0.040747,0.000165,0.078512,0.000167,0.083703,0.000576,0.069368,0.000539,3840
proposed_contact_budget_controller_v4_1,heldout_payload,0.747670,0.000926,0.830254,0.001992,0.081992,0.000362,0.071760,0.000480,0.656445,0.000340,0.642715,0.000390,0.210142,0.000154,0.055491,0.000816,0.045896,0.000367,0.044351,0.000166,0.082153,0.000169,0.097106,0.000578,0.081941,0.000541,3840
recovery_reserve_controller,clean_deployment,0.728704,0.000947,0.769680,0.002115,0.095604,0.000411,0.075698,0.000546,0.623157,0.000348,0.612772,0.000402,0.222723,0.000155,0.061485,0.000814,0.067334,0.000373,0.054795,0.000165,0.110405,0.000170,0.105030,0.000616,0.093577,0.000587,3840
recovery_reserve_controller,combined_stress,0.689997,0.001077,0.673048,0.002275,0.118145,0.000412,0.102694,0.000550,0.606394,0.000349,0.595574,0.000396,0.229651,0.000155,0.077271,0.000816,0.078942,0.000369,0.062666,0.000166,0.118718,0.000173,0.131492,0.000620,0.118547,0.000590,3840
recovery_reserve_controller,heldout_layout,0.711267,0.000995,0.731094,0.002179,0.102994,0.000415,0.085239,0.000547,0.616429,0.000349,0.605756,0.000399,0.225532,0.000154,0.067966,0.000813,0.071978,0.000369,0.058086,0.000167,0.113882,0.000171,0.114588,0.000618,0.102540,0.000589,3840
recovery_reserve_controller,heldout_object,0.719477,0.000976,0.748766,0.002159,0.099643,0.000416,0.080893,0.000547,0.619498,0.000348,0.608673,0.000398,0.224339,0.000157,0.065110,0.000814,0.070023,0.000369,0.056620,0.000165,0.112340,0.000170,0.110305,0.000618,0.098508,0.000589,3840
recovery_reserve_controller,heldout_payload,0.703951,0.001029,0.701884,0.002224,0.113300,0.000418,0.096204,0.000549,0.611404,0.000347,0.600814,0.000402,0.227498,0.000154,0.072312,0.000815,0.075337,0.000367,0.060250,0.000167,0.116016,0.000171,0.124793,0.000620,0.112312,0.000591,3840
risk_aware_contact_planner,clean_deployment,0.698286,0.001000,0.657305,0.002254,0.116107,0.000437,0.099451,0.000604,0.578953,0.000358,0.537302,0.000402,0.236421,0.000154,0.103209,0.000813,0.080849,0.000367,0.062661,0.000168,0.084149,0.000171,0.127578,0.000646,0.122426,0.000622,3840
risk_aware_contact_planner,combined_stress,0.654967,0.001174,0.552464,0.002451,0.139882,0.000433,0.129572,0.000611,0.561727,0.000352,0.520131,0.000402,0.243504,0.000155,0.119019,0.000817,0.092419,0.000368,0.070565,0.000167,0.092678,0.000179,0.155451,0.000646,0.149134,0.000623,3840
risk_aware_contact_planner,heldout_layout,0.679101,0.001067,0.615310,0.002331,0.124158,0.000437,0.110257,0.000608,0.571926,0.000355,0.530250,0.000403,0.239350,0.000154,0.109772,0.000813,0.085685,0.000369,0.065839,0.000166,0.087708,0.000172,0.137760,0.000646,0.132171,0.000623,3840
risk_aware_contact_planner,heldout_object,0.688002,0.001042,0.634588,0.002306,0.120318,0.000436,0.105300,0.000608,0.574987,0.000355,0.533349,0.000406,0.238059,0.000154,0.106976,0.000816,0.083534,0.000371,0.064436,0.000166,0.086121,0.000174,0.133093,0.000648,0.127714,0.000624,3840
risk_aware_contact_planner,heldout_payload,0.670493,0.001114,0.584150,0.002389,0.134596,0.000436,0.122010,0.000610,0.566888,0.000355,0.525341,0.000405,0.241269,0.000155,0.114039,0.000815,0.088732,0.000369,0.068096,0.000167,0.089935,0.000175,0.148208,0.000648,0.142276,0.000625,3840
whole_body_mpc,clean_deployment,0.642985,0.001137,0.481254,0.002545,0.164389,0.000487,0.141968,0.000722,0.535962,0.000366,0.469673,0.000408,0.239329,0.000153,0.143610,0.000812,0.127175,0.000369,0.082277,0.000166,0.059284,0.000175,0.164230,0.000696,0.173893,0.000689,3840
whole_body_mpc,combined_stress,0.590226,0.001369,0.359478,0.002803,0.191052,0.000484,0.178508,0.000726,0.518032,0.000363,0.451962,0.000414,0.246297,0.000153,0.159305,0.000817,0.138641,0.000371,0.090221,0.000169,0.067879,0.000182,0.194945,0.000699,0.204246,0.000692,3840
whole_body_mpc,heldout_layout,0.619684,0.001234,0.432146,0.002655,0.173613,0.000486,0.155383,0.000722,0.528712,0.000368,0.462454,0.000412,0.242205,0.000154,0.150056,0.000812,0.131921,0.000370,0.085551,0.000167,0.062832,0.000179,0.175586,0.000697,0.185109,0.000689,3840
whole_body_mpc,heldout_object,0.630318,0.001182,0.454242,0.002602,0.169300,0.000485,0.149522,0.000724,0.531826,0.000365,0.465552,0.000411,0.240983,0.000156,0.147226,0.000816,0.129720,0.000370,0.084155,0.000167,0.061276,0.000177,0.170521,0.000697,0.180099,0.000690,3840
whole_body_mpc,heldout_payload,0.608628,0.001290,0.396278,0.002718,0.184844,0.000487,0.169035,0.000723,0.523343,0.000368,0.457374,0.000406,0.244168,0.000155,0.154416,0.000814,0.134994,0.000370,0.087702,0.000167,0.065105,0.000181,0.186849,0.000698,0.196291,0.000690,3840
