rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
27,doi:10.1109/iros.2006.282154,Planning support contact-points for humanoid robots and experiments on HRP-2,2006,,https://doi.org/10.1109/iros.2006.282154,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
28,arxiv:2209.08662v2,Multi-contact MPC for Dynamic Loco-manipulation on Humanoid Robots,2022,arXiv,http://arxiv.org/abs/2209.08662v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
29,arxiv:2605.27724v1,HumanoidMimicGen: Data Generation for Loco-Manipulation via Whole-Body Planning,2026,arXiv,http://arxiv.org/abs/2605.27724v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.1609/icaps.v20i1.13436,Combined Task and Motion Planning for Mobile Manipulation,2010,Proceedings of the International Conference on Automated Planning and Scheduling,https://doi.org/10.1609/icaps.v20i1.13436,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.54254/2755-2721/2026.34075,Adaptive Instance-Wise Budget Allocation for Sampling-Based Motion Planning,2026,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2026.34075,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
32,arxiv:2011.07132v2,Region-Based Planning for 3D Within-Hand-Manipulation via Variable Friction Robot Fingers and Extrinsic Contacts,2020,arXiv,http://arxiv.org/abs/2011.07132v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
33,arxiv:2502.08378v2,Learning Humanoid Standing-up Control across Diverse Postures,2025,arXiv,http://arxiv.org/abs/2502.08378v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
34,arxiv:2603.03279v1,ULTRA: Unified Multimodal Control for Autonomous Humanoid Whole-Body Loco-Manipulation,2026,arXiv,http://arxiv.org/abs/2603.03279v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
35,doi:10.1109/mmm.2024.3378609,Planning Without a Budget? Budgeting Without a Plan? [MicroBusiness],2024,IEEE Microwave Magazine,https://doi.org/10.1109/mmm.2024.3378609,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
36,doi:10.3390/biomimetics9100599,A Fast Grasp Planning Algorithm for Humanoid Robot Hands,2024,Biomimetics,https://doi.org/10.3390/biomimetics9100599,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
37,doi:10.1108/ir-08-2015-0157,Motion planning for humanoid robot dynamically stepping over consecutive large obstacles,2016,Industrial Robot: An International Journal,https://doi.org/10.1108/ir-08-2015-0157,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
38,arxiv:2506.00351v2,Recasting Classical Motion Planning for Contact-Rich Manipulation,2025,arXiv,http://arxiv.org/abs/2506.00351v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
39,arxiv:2509.11839v3,TrajBooster: Boosting Humanoid Whole-Body Manipulation via Trajectory-Centric Learning,2025,arXiv,http://arxiv.org/abs/2509.11839v3,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
40,doi:10.3390/sym18030394,PI-VLA: Adaptive Symmetry-Aware Decision-Making for Long-Horizon Vision–Language–Action Manipulation,2026,Symmetry,https://doi.org/10.3390/sym18030394,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
41,doi:10.1016/j.robot.2023.104448,Multi-contact planning and control for humanoid robots: Design and validation of a complete framework,2023,Robotics and Autonomous Systems,https://doi.org/10.1016/j.robot.2023.104448,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
42,doi:10.7210/jrsj.35.393,Contact-motion Planning Integrating Multiple Contact Transition Strategies and its Application to Slide Contact Motion for Humanoid Robot,2017,Journal of the Robotics Society of Japan,https://doi.org/10.7210/jrsj.35.393,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
43,doi:10.3390/robotics14060082,Humanoid Motion Generation in Complex 3D Environments,2025,Robotics,https://doi.org/10.3390/robotics14060082,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
44,doi:10.1109/robot.2008.4543696,Robust balance optimization control of humanoid robots with multiple non coplanar grasps and frictional contacts,2008,,https://doi.org/10.1109/robot.2008.4543696,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
45,arxiv:2506.16555v1,An Optimization-Augmented Control Framework for Single and Coordinated Multi-Arm Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2506.16555v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
46,doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,2025,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2025.ast27134,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
47,doi:10.3390/electronics13061044,Dynamic Affect-Based Motion Planning of a Humanoid Robot for Human-Robot Collaborative Assembly in Manufacturing,2024,Electronics,https://doi.org/10.3390/electronics13061044,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
48,arxiv:2509.13534v1,Embracing Bulky Objects with Humanoid Robots: Whole-Body Manipulation with Reinforcement Learning,2025,arXiv,http://arxiv.org/abs/2509.13534v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
49,doi:10.1109/iros.2009.5353971,Contact planning for acyclic motion with task constraints and experiment on HRP-2 humanoid,2009,2009 IEEE/RSJ International Conference on Intelligent Robots and Systems,https://doi.org/10.1109/iros.2009.5353971,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
